"Код","Название","Адрес"
"1,112","МА?ЖАН","Жумабекова, 8/1"
"1,113","Ма?сат","Гагарина, 34/1"
"1,114","Ма?сат","Тайманулы, 1/1"
"1,115","МА?САТ","Бозтоган, 2/2"
"1,116","Ма?сат","Алдиярова, 12, 1 этаж"
"1,117","Магазин","Бауыржан Момышулы проспект, 25/3"
"1,118","Магазин","Айбергенова, 1а/1"
"1,119","Магазин","Бауыржан Момышулы проспект, 9/1"
"1,120","Магазин","Беткей, 9а"
"1,121","Магазин","Мадели Кожа, 113"
"1,122","Магазин","Жамалбека Шаймерденова, 294/1"
"1,123","Магазин","Азербаева, 35/1"
"1,124","Магазин","Солтустик саяжай, 263"
"1,125","Магазин","Сункар, 1"
"1,126","Магазин","Кошурникова, 56"
"1,127","Магазин","Байтурсынова, 76/4"
"1,128","Магазин","Когалы, 67"
"1,129","Магазин","Озекти, 8/5"
"1,130","Магазин","Юсупова, 130/1"
"1,131","Магазин","Гулдала, 32"
"1,132","Магазин","Казак Ордасы, 10"
"1,133","Магазин","Камбарулы, 1/1"
"1,134","Магазин","Байдибек би проспект, 130/9"
"1,135","Магазин","Тайманулы, 40"
"1,136","Магазин","Кайып ата, 1/1"
"1,137","Магазин","Сайрамская, 235/10"
"1,138","Магазин","4-я, 12"
"1,139","Магазин","Дастан, 1/2"
"1,140","Магазин","Майкудык, 12"
"1,141","Магазин","Бозарык микрорайон, 26"
"1,142","Магазин","Казак Ордасы, 1/8"
"1,143","Магазин","Камбара Молдабекулы, 1"
"1,144","Магазин","Изгилик, 2/5"
"1,145","Магазин","Изгилик, 2/6"
"1,146","Магазин","Солтустик саяжай, 346"
"1,147","Магазин","Ленина, 4/1"
"1,148","Магазин","Иле, 10"
"1,149","Магазин","Кызылкол, 659/1"
"1,150","Магазин","Есенова, 1/3"
"1,151","Магазин","Жибек жолы, 9/5"
"1,152","Магазин","Гагарина, 26а"
"1,153","Магазин","Мадели Кожа, 1г, 1 этаж"
"1,154","Магазин","Сайрам микрорайон, 8/4, 1 этаж"
"1,155","Магазин","Камбарулы, 20/1"
"1,156","Магазин","Кайып ата, 1/2"
"1,157","Магазин","Кенесарина, 10"
"1,158","Магазин","Атаконыс, 1/8"
"1,159","Магазин","Алтынбастау, 10"
"1,160","Магазин","Республики проспект, 46а, 1 этаж"
"1,161","Магазин","Рыскулова, 359/13"
"1,162","Магазин","Рыскулова, 2/4"
"1,163","Магазин","Анарова, 3/2"
"1,164","Магазин","Рыскулова, 162"
"1,165","Магазин","Кокжиек, 2/1"
"1,166","Магазин","Оразбаева, 102/1"
"1,167","Магазин","Алимбетова, 2, 1 этаж"
"1,168","Магазин","Жибек жолы, 26/6"
"1,169","Магазин","Козы Корпеш, 10/2"
"1,170","Магазин","Байдибек би проспект, 124"
"1,171","Магазин","Рыскулова, 10/15"
"1,172","Магазин","Рыскулова, 10/16"
"1,173","Магазин","Келмен Маханулы, 1/1"
"1,174","Магазин","Тугейболат, 32/1"
"1,175","Магазин","7-я улица, 1"
"1,176","Магазин","Фуркат, 26/1"
"1,177","Магазин","Садыкова, 2/1"
"1,178","Магазин","Шадабат, 1"
"1,179","Магазин","Бабашулы, 88/1"
"1,180","Магазин","#NULL!"
"1,181","Магазин","Леонова, 18"
"1,182","Магазин","Жибек жолы, 228/2"
"1,183","Магазин","Жубанова, 1"
"1,184","Магазин","Жибек жолы, 18/3"
"1,185","Магазин 53","Мухаметкула Исламкулова, 53/1"
"1,186","Магазин по продаже продуктов","Желтоксан, 32, 1 этаж"
"1,187","Магазин продовольствия","Аманжолова, 21/1"
"1,188","Магазин продуктов","Новостройка, 6"
"1,189","Магазин продуктов питания","Аль-Фараби, 94/5"
"1,190","МАГИЯ","16-й микрорайон, 24, 1 этаж"
"1,191","МАГНИТ","Данова, 11, 1 этаж"
"1,192","Магнолия","Назарбекова, 208/2, 0 этаж"
"1,193","Мади","Рыскулова, 58/15"
"1,194","Мади","Аскарова, 30/1"
"1,195","Мади","Тауке Хана, 97/1"
"1,196","МАДИ","Шокана Уалиханова, 221а, 1 этаж"
"1,197","МАДИ","Абдикадиров Уали ата, 1/4"
"1,198","Мади","Амангельды, 9/1"
"1,199","МАДИ","Рашидова, 14а/2, 1 этаж"
"1,200","Мадина","Курмангазы, 5, 1 этаж"
"1,201","Мадина","Восток микрорайон, 109"
"1,202","Мадина","Тамерлановское шоссе, 22/15"
"1,203","Мадина","Мангельдина, 34, 1 этаж"
"1,204","Мадина","Капал батыра, 98/1"
"1,205","МАДИНА","Гагарина, 14/1"
"1,206","МАДИНА","Торекулова, 54"
"1,207","Мадина","Рахимова, 50а"
"1,208","Мадина","Ибрагим ата, 93"
"1,209","Мадинабану","Сыпырган ата, 122/1"
"1,210","Мадияр","Уркимбаева, 14/1"
"1,211","Мадияр","Восток микрорайон, 21, 1 этаж"
"1,212","Мадияр","Исмаилова, 125, 1 этаж"
"1,213","МАДО","Алии Молдагуловой, 12, 1 этаж"
"1,214","Майкент","Промышленная, 1/7"
"1,215","Майра","Рыскулова, 359/6, 1 этаж, 9 бутик"
"1,216","Майра апа","Солтустик саяжай, 262"
"1,217","Майтобе","Майтобе, 1"
"1,218","Маке","Шокана Уалиханова, 192"
"1,219","Макс","Жастык, 2/3, 1 этаж"
"1,220","Максат","Дауренбека Курманбекова, 10/2"
"1,221","Максат","Аль-Фараби, 57"
"1,222","Максат","Толебаева, 90"
"1,223","Максат","Бершинтобе, 37/1"
"1,224","МАЛИКА","Жасталап, 119"
"1,225","Малика","Тауке Хана проспект, 296"
"1,226","Малика","Юлдашева, 7/1"
"1,227","Маман Ата","Бауыржан Момышулы проспект, 60"
"1,228","Манат","Медеу, 1"
"1,229","Манат","Казиева, 109/4"
"1,230","Мансур","Восток микрорайон, 3/1"
"1,231","Маншук","Турсынбаева, 32"
"1,232","Мардан","Тауке Хана, 229"
"1,233","Маржан","Алибекова, 18"
"1,234","Маржан","Бекболатова, 91"
"1,235","Маржан","Восток микрорайон, 44, 1 этаж"
"1,236","МАРЖАН","Шардара, 19"
"1,237","Маржан","Ибрагим ата, 100"
"1,238","МАРИКА","Диваева, 6/7, 1 этаж"
"1,239","Мария","Байтурсынова, 24Б"
"1,240","Мариям","Тыныбаева, 3, 1 этаж"
"1,241","Мариям","18-й микрорайон, 4"
"1,242","Маркет №1","Куаныш Толеметова, 69/41, 1 этаж"
"1,243","Мархабо","Желтоксан, 80"
"1,244","Матлюба","Жамалова, 4/2"
"1,245","МАФИ","Кабанбай батыра проспект, 13, 1 этаж"
"1,246","МАХМУТ АТА","Амира Тимура, 128/1, 1 этаж"
"1,247","Махсуд хажи","Быковского, 7/1, 1 этаж"
"1,248","МЕГАС","Нурсултана Назарбаева проспект, 34, 0 этаж"
"1,249","Медет","Жибек жолы, 86/5, 1 этаж"
"1,250","Медеу ата","Музтау, 2/2"
"1,251","Мейiр","Шамши Калдаякова, 17, 1 этаж"
"1,252","Мейіз Апа","Алибекова, 82/2, 1 этаж"
"1,253","Арсен","18-й микрорайон, 14, 1 этаж"
"1,254","МЕЙІРБЕК","Казына, 1/1"
"1,255","Мейрам","Алимкулова, 38, 1 этаж"
"1,256","Мельница","Мустафа Озтурука, 164"
"1,257","Мемрам","18-й микрорайон, 23, 1 этаж"
"1,258","Мерей","Аргынбекова, 133/10"
"1,259","Мерей","Север микрорайон, 41, 1 этаж"
"1,260","Мерей","Аскарова, 34"
"1,261","Мерей","Жандарбекова, 78/1"
"1,262","Мерей","Айбергенова, 1Б"
"1,263","Мерей","Шардара, 1/4"
"1,264","Мерей Мед","Аргынбекова, 27а, 1 этаж"
"1,265","Мерейли","Нуртас, 2/3"
"1,266","Меруерт","Володарского, 1/6"
"1,267","Меруерт","Болашак, 63/1"
"1,268","Меруерт","8-й микрорайон, 7а, 1 этаж"
"1,269","Меруерт","Койкелди Батыра, 85, 1 этаж"
"1,270","Металлург","1 Мая, 8, 1 этаж"
"1,271","Мико","Каламбаева, 88"
"1,272","МИКОШКА БИКОШКА","Диваева, 10/3"
"1,273","Милана","Театральная, 35, 1 этаж"
"1,274","Милана","Аскарова, 39, 1 этаж"
"1,275","Милена","Айбергенова, 4, 1 этаж"
"1,276","Миллениум","Айбергенова, 7, 1 этаж"
"1,277","Миллионер","Ушжурт, 1/1"
"1,278","Минавар","Шаназарова, 4/1"
"1,279","Мини-маркет","Гагарина, 13/14, 1 этаж"
"1,280","Мини-маркет","Капал батыра, 90а"
"1,281","Мини-маркет","Рыскулова, 359/12, 1 этаж"
"1,282","Мини-маркет","Шмидта, 9а"
"1,283","Мини-маркет","Юсуфа Сареми, 46/1, 1 этаж"
"1,284","Мини-маркет","Жибек жолы, 231"
"1,285","Мир Здоровья","Диваева, 10/2"
"1,286","Мираж","Алимбетова, 45в, 1 этаж"
"1,287","Мираж","Мадениет, 14/1"
"1,288","Продуктовый Магазин Без Названия","18-й микрорайон, 8, 1 этаж"
"1,289","Мирана","Жанабазар, 1"
"1,290","Мирас","Пахтакор, 18/26, 1 этаж"
"1,291","Мирас","Пахтакор, 18/7"
"1,292","Мирас","Кремлёвская, 38/2"
"1,293","МИРАС","Нурсултана Назарбаева проспект, 51, 0 этаж"
"1,294","Мирас","Ахметова, 437"
"1,295","Мирас","Толебаева, 46/1"
"1,296","Мират","Жиделибайсын, 92/2, 1 этаж"
"1,297","Миркан","Жиделибайсын, 47/1"
"1,298","Мирсалим","Сатыбалдиева, 30/2, 1 этаж"
"1,299","Мі?айым Ана","Нурсат микрорайон, 12, 1 этаж"
"1,300","МММ","Казиева, 58/2, 1 этаж"
"1,301","МОЙКА 4","Аймаутова, 143/1, 1 этаж"
"1,302","Молдали","Мирас, 1/1, 1 этаж"
"1,303","Молдир","Жастык, 17/1"
"1,304","Молдос","Озекти, 52"
"1,305","Мольдир","Республики проспект, 5, 1 этаж"
"1,306","МУРАТ","Нурпеисова, 6а"
"1,307","Мурмакс","16-й микрорайон, 31, 1 этаж"
"1,308","Мурмакс","Карасу микрорайон, 57, 1 этаж"
"1,309","МУРОД","Аль-Фараби, 84/1"
"1,310","МУСА","Рыскулова, 359/4"
"1,311","Муслимат ата","Амира Тимура, 70/1"
"1,312","Мустафа ата","Куаныш Толеметова, 1/1"
"1,313","Мухамедали","Инкардария, 14/3"
"1,314","МЫРЗАКАРИМ АТА","Махмуджона переулок, 12/1"
"1,315","Мэри","Казанкап акына, 47/1"
"1,316","Н?би","Гагарина, 137, 1 этаж"
"1,317","Н?р","Кабанбай батыра проспект, 4/1, 1 этаж"
"1,318","Н?р","Желтоксан, 291"
"1,319","Н?р","Искра, 59"
"1,320","Н?Р","Казиева, 1/1"
"1,321","Н?р","Бокейханова, 10/4"
"1,322","Н?р","Отырар микрорайон, 59, 1 этаж"
"1,323","Н?р","Хабира Пазикова, 108а"
"1,324","Н?р","15-й микрорайон, 4, 1 этаж"
"1,325","Н?р","Салтанатты, 21/1"
"1,326","Н?р Ай","Восток микрорайон, 45"
"1,327","Н?р Дар","4-й микрорайон, 9/2"
"1,328","Н?р Даулет","Бозтоган, 1/2"
"1,329","Н?р-?уаныш","Нурсат микрорайон, 126, 1 этаж"
"1,330","Н?р-Ай","Тамерлановское шоссе, 26/1"
"1,331","Н?Р-БЕРЕКЕ","Нурсултана Назарбаева проспект, 33, цокольный этаж"
"1,332","Н?р-Еркем","Айшыкты, 16/1"
"1,333","Н?Р-Н?Р","Досмухамедова, 1/2"
"1,334","Н?р-Сая","Гагарина, 145/2"
"1,335","Н?Р?ЛІ","Саяхат, 1/1"
"1,336","Н?Р?ЛІ","Жасталап, 174"
"1,337","Н?рАру","Восток микрорайон, 113/1"
"1,338","Н?расыл","Макталы, 96"
"1,339","Н?расыл","Есенова, 1/5"
"1,340","Н?рд?улет","Сасбукаева, 113"
"1,341","Н?рдос","Назарбекова, 90, 1 этаж"
"1,342","Н?РЖАМАЛ","Гулдала, 875"
"1,343","Н?рзат","Республики проспект, 37, 1 этаж"
"1,344","Н?рислами Азим","Байтурсынова, 75в/1"
"1,345","Н?РЛЫ ЖОЛ","Туркестан, 67/2"
"1,346","Н?рлы-Айым","Новостройка, 1/1"
"1,347","Н?РТАС","Акбота, 812а"
"1,348","Н.Б.С.","Мангельдина, 39/3"
"1,349","Н2О","Торекулова, 21/1, 1 этаж"
"1,350","На 8-ом","8-й микрорайон, 16, 1 этаж"
"1,351","На Тверской","Дауренбека Курманбекова, 35/3"
"1,352","Наво","Рашидова, 17, 1 этаж"
"1,353","Надежда","Алибекова, 84а"
"1,354","Наза","Сарбаздар, 12/1, 1 этаж"
"1,355","НАЗАРБАЙ АТА","Мусы Джалиля, 4/2"
"1,356","Назерке","Нурлыбаева, 22/3"
"1,357","Назерке","Асар 2 микрорайон, 5/7"
"1,358","Назима","Тиллаходжаева 1-я, 9/1"
"1,359","Назмина","Шамши Калдаякова, 123/3"
"1,360","НАЗЫМ","Арасан, 45/2"
"1,361","НАР АТА","Алтын Бесик, 10/2"
"1,362","Наргиз","Лескова, 104"
"1,363","Наргиза","Павлова, 2а, 1 этаж"
"1,364","Наргиза","Сатыбалдиева, 117, 1 этаж"
"1,365","Нарікбай","Восток микрорайон, 1"
"1,366","Нармат ата","Айбек, 23"
"1,367","Народный","Момынова, 7"
"1,368","Нарханум","Капал батыра, 74/2"
"1,369","Насиба Апа","Абдраимова, 1"
"1,370","Насима","Елшибек батыра, 87, 1 этаж"
"1,371","Натали","18-й микрорайон, 24, 1 этаж"
"1,372","НАУРЫЗ","Республики проспект, 15а, 1 этаж"
"1,373","НАУРЫЗ","Саулетши, 92/1"
"1,374","Наурыз","Шокана Уалиханова, 192в/1"
"1,375","Находка","Темирлан, 1"
"1,376","Наш магазин","Театральная, 24, 1 этаж"
"1,377","Незабудка","Абдыразакова, 10/1"
"1,378","НЕСIБЕ","Егемен ел, 33/2"
"1,379","Несiбе","Нурсат микрорайон, 197, цокольный этаж"
"1,380","Несiбелi","Алпамыс батыра, 3012"
"1,381","Несібе","Балтабай Нурлыбекова, 63/2, 1 этаж"
"1,382","Несібе","Актасты, 1/1"
"1,383","Нигина","Жылкышиева, 40, 1 этаж"
"1,384","Ниязкул ата","Хорасан баба 2-й тупик, 1, 1 этаж"
"1,385","НИЯТ","Камысты, 68/1"
"1,386","Новинка","Жолдасбекова, 62а"
"1,387","Новинка","Аманкулова, 59, 1 этаж"
"1,388","Ностальгия","Тамерлановское шоссе, 30, 1 этаж"
"1,389","Ноян","Алимбетова, 189/1"
"1,390","Нулифар","Киикжар, 10"
"1,391","Нур","Бекет Батыра, 89"
"1,392","Нур","Жибек жолы, 58/1"
"1,393","Нур","8 Марта, 41Б"
"1,394","Нур","Отырар микрорайон, 56, 1 этаж"
"1,395","НУР","Гагарина, 20/1, 1 этаж"
"1,396","Нур","Атасу, 57"
"1,397","НУР","Азаттык, 485, 1 этаж"
"1,398","НУР","Павлова, 4, 1 этаж"
"1,399","НУР 777","Сагынбаева, 171а, 1 этаж"
"1,400","Нур Сад","Карасу микрорайон, 27, 1 этаж"
"1,401","Нур-Ай","Сырым батыра, 10"
"1,402","Нур-асыл","Алии Молдагуловой, 7"
"1,403","Нур-Асыл","Изгилик, 2/1"
"1,404","НУР-УАЛИ","1 Мая, 27, 1 этаж"
"1,405","Нур-Фарм","Алматинская трасса, 25а/3"
"1,406","НУРАЙ","Кажи Алмахан, 45"
"1,407","Нурай","Бозарык микрорайон, 308"
"1,408","Нурасыл","Карасу микрорайон, 22"
"1,409","НУРАСЫЛ","Коктем, 4"
"1,410","Нурбакыт","Верещагина, 73а"
"1,411","Нурбакыт","16-й микрорайон, 15, 1 этаж"
"1,412","Нурбек","Сарыозек, 603/4, 1 этаж"
"1,413","Нурдана","Север микрорайон, 32/5, 1 этаж"
"1,414","Нурдаулет","Акпан батыра, 4, 1 этаж"
"1,415","НУРДАУЛЕТ ХАЛАЛ","Сыздыкова, 38/1"
"1,416","Нуржамал","Аймаутова, 119"
"1,417","Нуржан","Куаныш Толеметова, 1/2"
"1,418","НУРИЛА","Республики проспект, 25"
"1,419","Нурислам","Есенова, 1/6"
"1,420","Нуркен","Отырар микрорайон, 38/1"
"1,421","НУРЛАН","Капал батыра, 115/1"
"1,422","Нурлы","Кошерова, 43/1"
"1,423","Нурлы Тау","Туркестан, 2/2"
"1,424","Нурлыайым","Нурсултана Назарбаева проспект, 45/1"
"1,425","Нурмухаммед","Сырым батыра, 2/7"
"1,426","НУРСАЛТАНАТ","Восток микрорайон, 31/4, 1 этаж"
"1,427","Нурсан","Ерманова, 8, 1 этаж"
"1,428","Нурсат 2","Нурсат 2 микрорайон, 1, 1 этаж"
"1,429","Нурсат 2","Нурсат микрорайон, 31, 1 этаж"
"1,430","Нурсаят","Нурсултана Назарбаева проспект, 41, цокольный этаж"
"1,431","НурТай-АТА","Жастар, 48/1"
"1,432","НУРТАС","Аксауыт, 45/2"
"1,433","Нуртас","Бексеита Тулкиева, 1/1"
"1,434","Нурхан","Куаныш Толеметова, 336"
"1,435","Нурхат","Толе би, 33, 1 этаж"
"1,436","Нью Васюки","16-й микрорайон, 42а/1"
"1,437","О`КЕЙ","Жибек жолы, 43, 1 этаж"
"1,438","ОДИНА","Жибек жолы, 90/1, 1 этаж"
"1,439","ОЙБЕК","Амира Тимура, 237/23"
"1,440","Ойбек","Гагарина, 206/1"
"1,441","ОКЕАН","Бадамская, 5/7"
"1,442","Октам ата","Новостройка, 1"
"1,443","Олжа","Турсынкул Утегенова, 603/4, 1 этаж"
"1,444","Олжа","16-й микрорайон, 41"
"1,445","Олжа","Кошерова, 56/1"
"1,446","Олжа","Мангельдина, 34, 1 этаж"
"1,447","Олжас","Тауке Хана проспект, 2/8"
"1,448","ОЛЖАС","Карабастау, 32/2"
"1,449","Олжас","Акпан батыра, 13, 1 этаж"
"1,450","Олжас","Алибекова, 157/1"
"1,451","ОЛЖАС","Аргынбекова, 1/7"
"1,452","Олимп","Сайрамская, 1/1, 1 этаж"
"1,453","ОЛЬГА","Желтоксан, 336/1"
"1,454","Омар ата","Гагарина, 137, 1 этаж"
"1,455","Омирза? ата","Ибрагим ата, 3/1"
"1,456","Омирзак","Алматинская трасса, 14/4, 1 этаж"
"1,457","Оптовик","Ерназарова, 36/1"
"1,458","Оптовик+","Бабыра, 90"
"1,459","Оптовый магазин","Шокана Уалиханова, 225"
"1,460","Ор и Ка","Бирлик, 5/5"
"1,461","Ордабасы","3-й микрорайон, 3, 1 этаж"
"1,462","Ордабасы","3-й микрорайон, 6, 1 этаж"
"1,463","Оригинал","Сыдык Нурашбекова, 33/1"
"1,464","Оркен ана","Мамытбека Сматлаева, 12"
"1,465","Орман ата","Ибрагим ата, 78а/1"
"1,466","Орынбасар Ата","Шокана Уалиханова, 1/1, 1 этаж"
"1,467","ОТЫРАР","Отырар микрорайон, 52/2"
"1,468","Отырар","Акберен, 108/1"
"1,469","Папина лавка","Казыбек Би, 200/2а, 1 этаж"
"1,470","Пекарня","Нурлыбаева, 22/2"
"1,471","Пекарня","Бадамская, 10/1"
"1,472","Перизат","Хайруллина, 6"
"1,473","ПЕРИЗАТ","Сиргели, 14"
"1,474","Перизат","Карасу микрорайон, 45, 1 этаж"
"1,475","ПИРАМИДА","Толстого, 99, 1 этаж"
"1,476","Платинум","Володарского, 21, 1 этаж"
"1,477","Пончик","Акпан батыра, 107, 1 этаж"
"1,478","Продовольственный магазин","Жангельдина, 12/7"
"1,479","Продовольственный магазин","Рыскулова, 58/2"
"1,480","Продовольственный магазин","Бабыра, 98"
"1,481","Продовольственный магазин","Рыскулова, 1034/5"
"1,482","Продовольственный магазин","Талдыколь, 130/1"
"1,483","Продовольственный магазин","Момышулы, 2/1"
"1,484","Продовольственный магазин","Кекилова Жакиябека, 12"
"1,485","Продовольственный магазин","2-я улица, 1/1"
"1,486","Продовольственный магазин","Аскарова, 22/2, 1 этаж"
"1,487","Продовольственный магазин","Жангельдина, 15/9"
"1,488","Продовольственный магазин","Тайманулы, 2а/2, 1 этаж"
"1,489","Продовольственный магазин","Нурсат микрорайон, 7/1, 2 этаж, 279 бутик"
"1,490","Продовольственный магазин","Гагарина, 9а, 1 этаж"
"1,491","Продовольственный магазин","Атаконыс, 1/8"
"1,492","Продовольственный магазин","Онтустик, 320а, 1 этаж"
"1,493","Продовольственный магазин","Рыскулова, 359/6, 1 этаж, 7 бутик"
"1,494","Продовольственный магазин","Абдыразакова, 10/1"
"1,495","Продовольственный магазин","Рашидова, 14а/2, 1 этаж"
"1,496","Продовольственный магазин","Жибек жолы, 20а, 1 этаж"
"1,497","Продовольственный магазин","Жибек жолы, 137/1"
"1,498","Продовольственный магазин","Туркестан, 67"
"1,499","Продовольственный магазин","Амира Тимура, 237/19, 1 этаж"
"1,500","Продовольственный павильон","Капал батыра, 6/7"
"1,501","Продуктовая лавка","Анарова, 3/1"
"1,502","Продуктовая лавка","Анарова, 3/2"
"1,503","Продуктовый ларек","Тамерлановское шоссе, 22/19, 15 ряд, 46 место"
"1,504","Продуктовый магазин","Жибек жолы, 56/5"
"1,505","Продуктовый магазин","Шокана Уалиханова, 159"
"1,506","Продуктовый магазин","Тауке Хана, 8"
"1,507","Продуктовый магазин","Алимбетова, 45а/1"
"1,508","Продуктовый магазин","Казправды, 8, 1 этаж"
"1,509","Продуктовый магазин","Аскарова, 22/1"
"1,510","Продуктовый магазин","Азим, 164, 1 этаж"
"1,511","Продуктовый магазин","Красина переулок, 14/1, 1 этаж"
"1,512","Продуктовый магазин","Восток микрорайон, 12а"
"1,513","Продуктовый магазин","Жамбыла, 1"
"1,514","Продуктовый магазин","Маншук Маметовой, 127"
"1,515","Продуктовый магазин","Кисык, 27"
"1,516","Продуктовый магазин","Байтерекова, 171/2"
"1,517","Продуктовый магазин","Восток микрорайон, 34/1"
"1,518","Продуктовый магазин","Сырым батыра, 2/1"
"1,519","Продуктовый магазин","Казиева, 104/4"
"1,520","Продуктовый магазин","Жибек жолы, 91/1"
"1,521","Продуктовый магазин","Володарского, 1/9"
"1,522","Продуктовый магазин","Алимкулова, 2/1, 1 этаж"
"1,523","Продуктовый магазин","Сурикова, 4/1"
"1,524","Продуктовый магазин","Сасбукаева, 109/1"
"1,525","Продуктовый магазин","Дулати, 200а, 1 этаж"
"1,526","Продуктовый магазин","Дулати, 191"
"1,527","Продуктовый магазин","Нурсат 2 микрорайон, 18/1"
"1,528","Продуктовый магазин","Желтоксан, 1/1, 1 этаж"
"1,529","Продуктовый магазин","Табынбаева, 50/1"
"1,530","Продуктовый магазин","Жангельдина, 45"
"1,531","Продуктовый магазин","Жана жол, 6"
"1,532","Продуктовый магазин","Диваева, 30"
"1,533","Продуктовый магазин","Тамерлановское шоссе, 40/1"
"1,534","Продуктовый магазин","Диваева, 20 киоск"
"1,535","Продуктовый магазин","Тайманулы, 7/2"
"1,536","Продуктовый магазин","Туркестанская, 264/1"
"1,537","Продуктовый магазин","Туркестан, 40"
"1,538","Продуктовый магазин","Аргынбекова, 465/1"
"1,539","Продуктовый магазин","Тореза, 8"
"1,540","Продуктовый магазин","Гулдала, 33"
"1,541","Продуктовый магазин","Республики проспект, 37/1"
"1,542","Продуктовый магазин","Шиели, 3, 1 этаж"
"1,543","Продуктовый магазин","Казиева, 57/1"
"1,544","Продуктовый магазин","Махамбет, 1"
"1,545","Продуктовый магазин","Алдиярова, 18/2, 1 этаж"
"1,546","Продуктовый магазин","Кок сай 1 микрорайон, 382, 1 этаж"
"1,547","Продуктовый магазин","Казыбек Би, 192/1"
"1,548","Продуктовый магазин","Дулатова, 71"
"1,549","Продуктовый магазин","Капал батыра, 15/1"
"1,550","Продуктовый магазин","Шыршыкбай, 1"
"1,551","Продуктовый магазин","Шойынбаевой, 1/1"
"1,552","Продуктовый магазин","Ынтымак, 45/3"
"1,553","Продуктовый магазин","Каркара, 49/1"
"1,554","Продуктовый магазин","Жандосова, 73/1"
"1,555","Продуктовый магазин","Жусанды, 26/1"
"1,556","Продуктовый магазин","Даулеткерей, 30"
"1,557","Продуктовый магазин","Айшыкты, 16/2"
"1,558","Продуктовый магазин","Капал батыра, 74"
"1,559","Продуктовый магазин","Куаныш Толеметова, 69/10, 1 этаж"
"1,560","Продуктовый магазин","Казак Ордасы, 10/1"
"1,561","Продуктовый магазин","Байдибек би проспект, 15/15"
"1,562","Продуктовый магазин","Жиделибайсын, 22"
"1,563","Продуктовый магазин","Капал батыра, 80/1"
"1,564","Продуктовый магазин","Туран, 26/1"
"1,565","Продуктовый магазин","Байтурсынова, 57"
"1,566","Продуктовый магазин","Тауке Хана, 40/2"
"1,567","Продуктовый магазин","Мадели Кожа, 24"
"1,568","Продуктовый магазин","Айбергенова проезд, 8/2"
"1,569","Продуктовый магазин","Жиделибайсын, 18"
"1,570","Продуктовый магазин","Рамзан-Ата, 10"
"1,571","Продуктовый магазин","Сулейменова, 4/1"
"1,572","Продуктовый магазин","Октябрьская, 77/2"
"1,573","Продуктовый магазин","Народовольцев, 31/1"
"1,574","Продуктовый магазин","Павлова, 12а"
"1,575","Продуктовый магазин","Саттарханова, 30/3"
"1,576","Продуктовый магазин","Джалиля, 52"
"1,577","Продуктовый магазин","Теспе, 34"
"1,578","Продуктовый магазин","Алга, 16"
"1,579","Продуктовый магазин","Чайковского, 85"
"1,580","Продуктовый магазин","Абая, 11"
"1,581","Продуктовый магазин","Курылыс, 47/1"
"1,582","Продуктовый магазин","Колбаева, 25"
"1,583","Продуктовый магазин","Жанбосынова, 20/1"
"1,584","Продуктовый магазин","Сеченова, 32"
"1,585","Продуктовый магазин","Ондасынова, 53"
"1,586","Продуктовый магазин","Амангельды, 45/1"
"1,587","Продуктовый магазин","Кажи Алмахан 1-й переулок, 1/1"
"1,588","Продуктовый магазин","Косдиирмен, 1/1"
"1,589","Продуктовый магазин","Момышулы, 1/3"
"1,590","Продуктовый магазин","Сайрамская, 156"
"1,591","Продуктовый магазин","Жана жол, 54/1, 1 этаж"
"1,592","Продуктовый магазин","Комекбаева, 37/1"
"1,593","Продуктовый магазин","Акбаева, 25, 1 этаж"
"1,594","Продуктовый магазин","Камытбек Мамешов, 62"
"1,595","Продуктовый магазин","Амангельды, 104/2"
"1,596","Продуктовый магазин","Бейбитшилик, 4"
"1,597","Продуктовый магазин","Мукумий, 30/1"
"1,598","Продуктовый магазин","Озекти, 16/1, 1 этаж"
"1,599","Продуктовый магазин","Наурыз, 186"
"1,600","Продуктовый магазин","Гагарина, 56а"
"1,601","Продуктовый магазин","Капал батыра, 104"
"1,602","Продуктовый магазин","Туран, 10/1"
"1,603","Продуктовый магазин","Республики проспект, 46а, 1 этаж"
"1,604","Продуктовый магазин","Нурлыбаева, 684"
"1,605","Продуктовый магазин","Исмаилова, 11а"
"1,606","Продуктовый магазин","Нурлыбаева, 14/2"
"1,607","Продуктовый магазин","Бадамская 1-я, 1"
"1,608","Продуктовый магазин","Колбаева, 28"
"1,609","Продуктовый магазин","Зердели, 1а/3"
"1,610","Продуктовый магазин","Кенесарина, 1/2"
"1,611","Продуктовый магазин","Бекзат Саттарханова, 20"
"1,612","Продуктовый магазин","Отырар, 33/1"
"1,613","Продуктовый магазин","Кентаева, 1/1"
"1,614","Продуктовый магазин","Жетысай, 10"
"1,615","Продуктовый магазин","Восток микрорайон, 113/2"
"1,616","Продуктовый магазин","Бекболатова, 1/1"
"1,617","Продуктовый магазин","Токбайге, 72/1"
"1,618","Продуктовый магазин","Баулык, 2133"
"1,619","Продуктовый магазин","Пайзахметова, 29"
"1,620","Продуктовый магазин","Жиделибайсын, 92, 1 этаж"
"1,621","Продуктовый магазин","Тамерлановское шоссе, 202/5"
"1,622","Продуктовый магазин","Аркалык, 37/1"
"1,623","Продуктовый магазин","Ашира Едилбаева, 2/4"
"1,624","Продуктовый магазин","Асар микрорайон, 8/4"
